,Stock,Entry Date,Exit Date,Shares,Entry Share Price,Exit Share Price,Entry Portfolio Holding,Exit Portfolio Holding,Profit/Loss,Cumulative Profit/Loss
0,MSFT,2018-04-26,2018-04-30,100,90.35601043701172,89.64664459228516,9035.601043701172,8964.664459228516,-70.93658447265625,-70.93658447265625
1,MSFT,2018-05-01,2018-05-08,100,91.06535339355469,91.8418197631836,9106.535339355469,9184.18197631836,77.64663696289062,6.710052490234375
2,MSFT,2018-05-17,2018-05-21,100,92.59611511230469,93.96320343017578,9259.611511230469,9396.320343017578,136.70883178710938,143.41888427734375
3,MSFT,2018-05-24,2018-05-30,100,94.64674377441406,95.26287841796875,9464.674377441406,9526.287841796875,61.61346435546875,205.0323486328125
4,MSFT,2018-05-31,2018-06-01,100,95.15699768066406,97.03433227539062,9515.699768066406,9703.433227539062,187.73345947265625,392.76580810546875
5,MSFT,2018-06-06,2018-06-11,100,98.67097473144531,97.28462982177734,9867.097473144531,9728.462982177734,-138.63449096679688,254.13131713867188
6,MSFT,2018-06-13,2018-06-15,100,97.09209442138672,96.39891052246094,9709.209442138672,9639.891052246094,-69.31838989257812,184.81292724609375
7,MSFT,2018-06-22,2018-07-05,100,96.66850280761719,96.04271697998047,9666.850280761719,9604.271697998047,-62.578582763671875,122.23434448242188
8,MSFT,2018-07-06,2018-07-09,100,97.39054870605469,98.0548324584961,9739.054870605469,9805.48324584961,66.42837524414062,188.6627197265625
9,MSFT,2018-07-19,2018-07-26,100,100.50981903076172,105.5353012084961,10050.981903076172,10553.53012084961,502.5482177734375,691.2109375
10,MSFT,2018-07-27,2018-08-06,100,103.66759490966797,104.10081481933594,10366.759490966797,10410.081481933594,43.321990966796875,734.5329284667969
11,MSFT,2018-08-16,2018-08-23,100,104.02787780761719,103.9505615234375,10402.787780761719,10395.05615234375,-7.73162841796875,726.8013000488281
12,MSFT,2018-08-29,2018-08-31,100,108.26089477539062,108.56049346923828,10826.089477539062,10856.049346923828,29.959869384765625,756.7611694335938
13,MSFT,2018-09-06,2018-09-13,100,105.09095764160156,109.12103271484375,10509.095764160156,10912.103271484375,403.00750732421875,1159.7686767578125
14,MSFT,2018-09-14,2018-09-18,100,109.56558990478516,109.41095733642578,10956.558990478516,10941.095733642578,-15.4632568359375,1144.305419921875
15,MSFT,2018-09-24,2018-09-28,100,110.82195281982422,110.53204345703125,11082.195281982422,11053.204345703125,-28.990936279296875,1115.3144836425781
